gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
163989168																																																											UGENT	nematodes			PreservedSpecimen					100085																																																																																																														allotype: m ,														Meloidogyne oteifae								Animalia	Nemata	Chromadorea	Rhabditida	Meloidogynidae	Meloidogyne		oteifae									
163989198																																																											UGENT	nematodes			PreservedSpecimen					100100																																																																																																																												Meloidogyne deconincki								Animalia	Nemata	Chromadorea	Rhabditida	Meloidogynidae	Meloidogyne		deconincki									
163989254																																																											UGENT	nematodes			PreservedSpecimen					100161																																																																																																																												Indodorylaimus wickeni								Animalia	Nemata	Enoplea	Dorylaimida	Dorylaimidae??	Indodorylaimus		wickeni									
163989279																																																											UGENT	nematodes			PreservedSpecimen					100201																															1973-01-10																																																																															holotype: m ,														Microlaimus annelisae								Animalia	Nemata	Chromadorea	Desmodorida	Microlaimidae	Microlaimus		annelisae									
163989360																																																											UGENT	nematodes			PreservedSpecimen					100274																															1980-04-03																						ALGERIA					Oued En-Namous (Ain Sefra)																																																				holotype: f ,paratype: 1 f, 1 juv.3 ,														Halalaimus algeriensis								Animalia	Nemata	Enoplea	Enoplida	Oxystominidae	Halalaimus		algeriensis									
163989366																																																											UGENT	nematodes			PreservedSpecimen					100276																															1980-04-07																						ALGERIA					Oued En-Namous (Ain Sefra)																																																				paratype: 2 f ,														Halalaimus algeriensis								Animalia	Nemata	Enoplea	Enoplida	Oxystominidae	Halalaimus		algeriensis									
163989393																																																											UGENT	nematodes			PreservedSpecimen					100305																																																					KOREA, REPUBLIC OF					Apple, Youngchun																																																																		Merlinius koreanus								Animalia	Nemata	Chromadorea	Rhabditida	Belonolaimidae	Merlinius		koreanus									
163989760																																																											UGENT	nematodes			PreservedSpecimen					100529																																																																																																																												Mesodiplogaster pseudolherit.?								Animalia	Nemata	Chromadorea	Rhabditida	Diplogasteridae	Mesodiplogaster		pseudolherit.?									
163989768																																																											UGENT	nematodes			PreservedSpecimen					100539																																																																																																														holotype: f ,														Macroposthonia talensis								Animalia	Nemata	Chromadorea	Rhabditida	Criconematidae	Macroposthonia		talensis									
163989769																																																											UGENT	nematodes			PreservedSpecimen					100540																															1961-06-13																						FRANCE					Marseille I. de Jarros, sable Amphioz.8 à 9 m																																																																		Haliplectus des….scolecide?? Vitiello & De Cononinck, 0								Animalia	Nemata				Haliplectus		des….scolecide??				Vitiello & De Cononinck, 0					
163989790																																																											UGENT	nematodes			PreservedSpecimen					100653																																																																																																																												Laimydorus tenuistriatus								Animalia	Nemata	Enoplea	Dorylaimida	Dorylaimidae	Laimydorus		tenuistriatus									
163989805																																																											UGENT	nematodes			PreservedSpecimen					100715																																																																																																														paratype: 1 m ,														Eudorylaimus spaulli Coomans, 0								Animalia	Nemata	Enoplea	Dorylaimida	Qudsianematidae	Eudorylaimus		spaulli				Coomans, 0					
163989821																																																											UGENT	nematodes			PreservedSpecimen					100760																																																																																																																												Myolaimus indicus								Animalia	Nemata	Chromadorea	Rhabditida	Myolaimidae	Myolaimus		indicus									
163989854																																																											UGENT	nematodes			PreservedSpecimen					100881																															1979-12-12																						JAPAN					Agr. Exper. Stn. Nishigoshi Kumamoto Pref.																																																				paratype: 2 m ,														Merlinius acuminatus N. Minagawa, 1985								Animalia	Nemata	Chromadorea	Rhabditida	Belonolaimidae	Merlinius		acuminatus				N. Minagawa, 1985					
163989928																																																											UGENT	nematodes			PreservedSpecimen					101675																															1962-05-09																																																																																													Helicotylenchus pseudorobustus								Animalia	Nemata	Chromadorea	Rhabditida	Hoplolaimidae	Helicotylenchus		pseudorobustus									
163990102																																																											UGENT	nematodes			PreservedSpecimen					100284																																																																																																																												Trichodorus coomansi								Animalia	Nemata	Enoplea	Triplonchida	Trichodoridae	Trichodorus		coomansi									
163990169																																																											UGENT	nematodes			PreservedSpecimen					100493																																																					FRANCE					L'Allier (03) Foret de Tronçais																																																				paratype: 1 f ,														Serrespinula allieri Doucet, 1981								Animalia	Nemata				Serrespinula		allieri				Doucet, 1981					
163990200																																																											UGENT	nematodes			PreservedSpecimen					100571																																																					CAMEROON					Palm tree																																																				paratype: 1 f ,														Sclerolabia camerunensia E. Geraert, 1972								Animalia	Nemata				Sclerolabia		camerunensia				E. Geraert, 1972					
163990252																																																											UGENT	nematodes			PreservedSpecimen					100605																															1979-08-05																						CÔTE D'IVOIRE					Taï Primary Forest, roots Diospyros chevalieri																																																				paratype: 1 f ,														Sicaguttur hooperi								Animalia	Nemata				Sicaguttur		hooperi									
163990318																																																											UGENT	nematodes			PreservedSpecimen					100699																																																																																																																												Trichodorus taylori								Animalia	Nemata	Enoplea	Triplonchida	Trichodoridae	Trichodorus		taylori									
163990323																																																											UGENT	nematodes			PreservedSpecimen					100702																																																																																																														paratype: 1 f ,														Tricoma paratimmi								Animalia	Nemata	Chromadorea	Desmoscolecida	Desmoscolecidae	Tricoma		paratimmi									
163990336																																																											UGENT	nematodes			PreservedSpecimen					100735																																																																																																																												Paravulvus reynsi								Animalia	Nemata	Enoplea	Dorylaimida	Nygolaimidae	Paravulvus		reynsi									
163990357																																																											UGENT	nematodes			PreservedSpecimen					100745																																																																																																																												Richtersia staresensis								Animalia	Nemata	Chromadorea	Chromadorida	Selachinematidae	Richtersia		staresensis									
163990570																																																											UGENT	nematodes			PreservedSpecimen					100801																																																																																																																												Trichodorus petrusalberti								Animalia	Nemata	Enoplea	Triplonchida	Trichodoridae	Trichodorus		petrusalberti									
163990581																																																											UGENT	nematodes			PreservedSpecimen					100824																																																																																																														paratype: 1 f ,														Prismatolaimus matoni M.M. Mulk & A. Coomans, 0								Animalia	Nemata	Enoplea	Triplonchida	Prismatolaimidae	Prismatolaimus		matoni				M.M. Mulk & A. Coomans, 0					
163990587																																																											UGENT	nematodes			PreservedSpecimen					100853																																																																																																																												Protylenchus pandafallax								Animalia	Nemata	Chromadorea	Rhabditida	Sphaerulariidae	Protylenchus		pandafallax									
