"Abbrev","Slide-nbr","Genus","species","Author","Year","Synoniems","Phylum","Classis","Subclassis","Ordo","Subordo","Infraordo","Superfamilia","Familia","Subfamilia","Old number","nbr of specimens of main/typecies","Total nbr of specimens in slide","Holotype","Allotype","Paratypes","Other types","Others","Type locality","Locality","Country","Date","Article","Reference","Specifications","Other species","Determination","Cobb-slide","Glass-slide","Present","Absent","Sent in loan to","Loandoucment","Controle"
"UGMD",100220,"Helicotylenchus","vulgaris",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 220",,"1",,,"1 f",,FALSE,"Ex. Broadbalk Wilderness grass-ungrazed RES",,"England",,"Repr-",,"Coll. 15/5/63; fixed 24/6/63 Proc.Seinhorst's meth.; Mt Gly 1/7/63; Re Mt.20/9/63;",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100221,"Aporcelaimus","romanicus",,0,,"Nematoda","Enoplea","Dorylaimia","Dorylaimida","Dorylaimina",,"Dorylaimoidea","Aporcelaimidae",,"ZIRUG 221",,"3",,,,,FALSE,,"Vladeasa Mountain beach, spruce fir forest","Romania","1974-06-06 00:00:00","Repr-",,"I Popovici 1978; brown soil; I Popovici June 6, 1974; 1 male, 1 female",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100222,"Mehdinema","coomansi",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Rhabditina","Diplogasteromorpha","Diplogasteroidea","Diplogasteridae",,"ZIRUG 222",,"10",,,,,FALSE,,"Masagram, District Burdwan, West Bengal","India",,"Repr-",,"n.sp.; host paddy (Oryra satin L.)",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100223,"Malenchus","nanellus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 223",,"2",,,"2 f",,FALSE,"Maise cav.36 Ibadam",,"Nigeria",,"Repr-",,"sp.n.;legit.M.R.Siddiqi",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100224,"Malenchus","nanellus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 224",,"2",,,"1 m, 1f",,FALSE,"Maise cav.36 Ibadam",,"Nigeria",,"Repr-",,"sp.n.",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100225,"Malenchus","tantulus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 225",,"4",,,"3f, 1 m",,FALSE,"Namitette Dambo nr. Tembwe",,"Malawi",,"Repr-",,"n.sp.;legit.M.R.Siddiqi; Tomatv???? DCMC 79",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100226,"Tylenchus","cerealis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 226",,"3",,,"2 f",,TRUE,"Karadj",,"Iran",,"Repr-",,"Secale cereale; sept 1967","Helianthus annuus",,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100227,"Duosulcius","acutus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 227",,"1",,,"1 f",,FALSE,"Bush soil, Caveness  22 Jbadam",,"Nigeria",,"Repr-",,"n.sp.",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100228,"Neomalenchus","ovalis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 228",,"6",,,"2 m",,FALSE,"Capsicum annuum; Wth Peregrine",,"Brunei",,"Repr-",,"n.sp. 4 female",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100229,"Neomalenchus","ovalis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 229",,"2",,,"1 m",,FALSE,"Capsicum annuum, soil, wth Peregrine",,"Brunei",,"Repr-",,"n.sp. 1 female",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100230,"Neomalenchus","malawiensis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 230",,"2",,,"1 m",,FALSE,"Eucalyptus saligna, Njaeli Tea Res. Stn Chole",,"Malawi",,"Repr-",,"n.sp. 1 female; Siddiqi",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100231,"Neomalenchus","malawiensis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 231",,"2",,,"2 f",,FALSE,"Eucalyptus saligna, Tea Res. Stn. Chole",,"Malawi",,"Repr-",,,,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100232,"Peltamigratus","perscitus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 232",,"1",,,"f",,FALSE,"Provincia de Cordoba, Pampa de Achala",,"Argentina",,"Repr-",,"Doucet 1980; Oct. 1978",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100233,"Peltamigratus","perscitus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 233",,"1",,,"m",,FALSE,"Provincia de Cordoba, Pampa de Achala",,"Argentina",,"Repr-",,"Doucet 1980; Oct. 1978",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100234,"Peltamigratus","longistylus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 234",,"1",,,"f",,FALSE,"Provincia de Cordoba, La Faldu Villa Giardina",,"Argentina",,"Repr-",,"Doucet 1980; Oct. 1978",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100235,"Trilineellus","clathrocutis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 235",,"1",,,"m",,FALSE,"Zea mays, Stockton California N.A. Minton",,"U.S.A.","1980-01-02 00:00:00","Repr-",,,,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100236,"Trilineellus","clathrocutis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 236",,"1",,,"f",,FALSE,"Zea mays, Stockton California N.A. Minton",,"U.S.A.","1980-01-02 00:00:00","Repr-",,,,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100237,"Trilineellus","clathrocutis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 237",,"1",,,"f",,FALSE,"Zea mays, Stockton California N.A. Minton",,"U.S.A.","1980-01-02 00:00:00","Repr-",,,,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100238,"Trilineellus","clathrocutis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 238",,"1",,,"f",,FALSE,"Zea mays, Stockton California N.A. Minton",,"U.S.A.","1980-01-02 00:00:00","Repr-",,,,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100239,,,,0,,,,,,,,,,,,,,,,,,FALSE,,,,,"Repr-",,,,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100240,,,,0,,,,,,,,,,,,,,,,,,FALSE,,,,,"Repr-",,,,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100241,"Tylenchorhynchus","velatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 241",,"6",,,"3 f",,FALSE,"Soil, Acacia 6 Mile CK, Wentworth NSW",,"Australia?",,"Repr-",,"3 male",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100242,"Tylenchorhynchus","tobari",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 242",,"4",,,"4 f",,FALSE,"Soil, Chenopodium, 6 Mile CK, Wentworth NSW",,"Australia?",,"Repr-",,,,,TRUE,FALSE,TRUE,FALSE,,"U-",
