institutionCode	occurrenceID	Acronym	catalogNumber	verbatimGenus	specificEpithet	scientificName	GBIF tax ID	scientificName_GBIF_synonym3	scientificName_synonym2_GBIF	scientificName_synonym_GBIF	Synonyms_taxonomicStatus_GBIF	family_GBIF	authorship	nubKey_GBIF	taxonomicStatus_GBIF	rank_GBIF	scientificName_GBIF	phylum	kingdom	accordingTo_GBIF	genus	order_GBIF	Class_GBIF	scientificNameAuthorship	Year	Synonyms_original	seks	Phylum	class	Subclassis	Infraclassis	Ordo	Subordo	Infraordo	Superfamilia	Familia	Subfamilia	oldCatalogNumber	nbr of specimens of main/typecies	Total nbr of specimens in slide	Type	Additional types	Holotype	Allotype	Paratypes	Other types	Others	Type locality	Locality	Country	Date	Article	Reference	Fauna Belgica	Specifications	Other species	Determination	Cobb-slide	Glass-slide	Present	Absent	Sent in loan to	Loan voucher
Ugent	Ugent:UGMD:102161	UGMD	102161	Labronema	eurydorylaimoides	Labronema eurydorylaimoides																			0			Nematoda	Enoplea	Dorylaimia		Dorylaimida	Dorylaimina		Dorylaimoidea	Dorylaimidae		ZIRUG2161	10/-/3	13							false	Yangambi 16, Kongo,	Banaan		1958-07-25T00:00:00Z	Repr-		false				true	false	true	false		U-
Ugent	Ugent:UGMD:102241	UGMD	102241	Aporcelaimus	sp	Aporcelaimus Thorne & Swanger, 1936 (Animalia)	131480700					Aporcelaimidae	Thorne & Swanger, 1936			GENUS	Aporcelaimus Thorne et Swanger, 1936	Nematoda	Animalia		Aporcelaimus	Dorylaimida	Enoplea		0			Nematoda	Enoplea	Dorylaimia		Dorylaimida	Dorylaimina		Dorylaimoidea	Aporcelaimidae		ZIRUG2241	1/-/1	2							false	Yangambi 16, Kongo,			1958-07-25T00:00:00Z	Repr-		false	slechte staat door uitdroging			true	false	true	false		U
Ugent	Ugent:UGMD:102244	UGMD	102244	Mesodorylaimus	musae	Mesodorylaimus musae Geraert, 1962 [=> Mesodorylaimus japonicus (Cobb in Thorne & Swanger, 1936)] (Animalia)	136431769					Dorylaimidae	Geraert, 1962	7017308	SYNONYM	SPECIES	Mesodorylaimus musae Geraert, 1962	Nematoda	Animalia	Hallan, 2000-	Mesodorylaimus	Dorylaimida	Dorylaimea		0			Nematoda	Enoplea	Dorylaimia		Dorylaimida	Dorylaimina		Dorylaimoidea	Dorylaimidae		ZIRUG2244	4/-/2	6							false	Yangambi 16, Kongo,			1958-07-25T00:00:00Z	Repr-		false	slechte staat door uitdroging			true	false	true	false		U
Ugent	Ugent:UGMD:102253	UGMD	102253	Labronema	eurydorylaimoides	Labronema eurydorylaimoides																			0			Nematoda	Enoplea	Dorylaimia		Dorylaimida	Dorylaimina		Dorylaimoidea	Dorylaimidae		ZIRUG2252	4/-/1	6							true	Yangambi 16, Kongo,			1958-07-25T00:00:00Z	Repr-		false	matige uitdroging	Xiphinema sp -/-/1		true	false	true	false		U-
Ugent	Ugent:UGMD:102254	UGMD	102254	Radopholus	similis	Radopholus similis (Animalia)	135719981	Tylenchus biformis Cobb, 1909	Tylenchus acutocaudatus Zimmermann, 1898	Radopholus citrophilus Huettel, Dickson & Kaplan, 1984	SYNONYM			2284101	ACCEPTED	SPECIES	Radopholus similis	Nematoda	Animalia	CoL2006/ITS	Radopholus		Secernentea					Nematoda	Chromadorea	Chromadoria		Rhabditida	Tylenchina	Tylenchomorpha	Tylenchoidea	Pratylenchidae		ZIRUG2254	7/-/-	7							false	Yangambi 16, Kongo,			1958-07-25T00:00:00Z	Repr-		false				true	false	true	false		U
