institutionCode;ownerInstitutionCode;rightsHolder;type;collectionCode;datasetName;basisOfRecord;license;day;month;year;occurrenceID;Acronym;catalogNumber;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;scientificName;identificationRemarks;otherCatalogNumbers;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;namePublishedIn;disposition;language
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104013;UGMD;104013;Trichodorus gilanensis Maafi & Decraemer, 2002;Maafi & Decraemer, 2002;7015500;SPECIES;Animalia;Trichodorus gilanensis Maafi & Decraemer, 2002 [=> Trichodora gilanensis (Maafi & Decraemer, 2002)] (Animalia);collection and data is currently is under review;MDNC4013;;;;;;only georeferenced to country level;;;;;missing;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;7;2;1998;Ugent:UGMD:104014;UGMD;104014;Parapalus arboricola Loof & Zullini, 2000;Loof & Zullini, 2000;7017996;SPECIES;Animalia;Parapalus arboricola Loof & Zullini, 2000 (Animalia);collection and data is currently is under review;MDNC4014;4;;;;Costa Rica;only georeferenced to country level;;;1998-02-07;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;22;11;1997;Ugent:UGMD:104015;UGMD;104015;Brasilaimus vinciguerrae Loof & Zullini, 2000;Loof & Zullini, 2000;7018847;SPECIES;Animalia;Brasilaimus vinciguerrae Loof & Zullini, 2000 (Animalia);collection and data is currently is under review;MDNC4015;1;;;;Costa Rica;only georeferenced to country level;;;1997-11-22;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;25;3;1997;Ugent:UGMD:104016;UGMD;104016;;;;;;Ibionema biliforme;collection and data is currently is under review;MDNC4016;2;;;;Costa Rica;only georeferenced to country level;;;1997-03-25;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;25;3;1997;Ugent:UGMD:104017;UGMD;104017;;;;;;Ibionema biliforme;collection and data is currently is under review;MDNC4017;1;;;OropendolaTapanti,sendero;Costa Rica;only georeferenced to country level;;;1997-03-25;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;25;3;1997;Ugent:UGMD:104018;UGMD;104018;;;;;;Ibionema biliforme;collection and data is currently is under review;MDNC4018;1;;;OropendolaTapanti,sendero;Costa Rica;only georeferenced to country level;;;1997-03-25;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;11;8;1997;Ugent:UGMD:104019;UGMD;104019;Anonchus pulcher Zullini, Loof & Bongers, 2002;Zullini, Loof & Bongers, 2002;7020483;SPECIES;Animalia;Anonchus pulcher Zullini, Loof & Bongers, 2002 (Animalia);collection and data is currently is under review;MDNC4019;3;;;;Costa Rica;only georeferenced to country level;;;1997-08-11;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;10;1997;Ugent:UGMD:104020;UGMD;104020;Mononchus laminatus Zullini, Loof & Bongers, 2002;Zullini, Loof & Bongers, 2002;7015964;SPECIES;Animalia;Mononchus laminatus Zullini, Loof & Bongers, 2002 (Animalia);collection and data is currently is under review;MDNC4020;1;;;;Costa Rica;only georeferenced to country level;;;1997-10-12;;missing;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104021;UGMD;104021;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;4347971;SPECIES;Animalia;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4021;9;  Paratype ;1 male, 1 juvenile J3, 1 juvenile J4  ;Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104022;UGMD;104022;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;4347971;SPECIES;Animalia;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4022;9; Allotype | Paratype ;2 females;;;only georeferenced to country level;;;;;in collection;EN
