institutionCode,Acronym,Catalogue number,occurrenceID,genus,scientificName,scientificNameAuthorship,kingdom,scientificName_recon,identificationRemarks,Year,class,Subclassis,Order,otherCatalogNumber,individualCount,typestatus,sex,locality,Country,geoReferenceRemarks,decimalLatitude,decimalLongitude,eventDate,Reference,disposition,Phylum
Ugent,UGMD,102784,UgentUGMD102784,Macroposthonia,,,,Macroposthonia ornata,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2784,2,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102785,UgentUGMD102785,Macroposthonia,,,,Macroposthonia ornata,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2785,4,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102786,UgentUGMD102786,Pratylenchus,"Pratylenchus coffeae (Zimmermann, 1898)"," (Zimmermann, 1898)",Animalia,"Pratylenchus coffeae  (Zimmermann, 1898) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2786,10,,,Bambesa ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102787,UgentUGMD102787,Pratylenchus,"Pratylenchus crenatus Loof, 1960","Loof, 1960",Animalia,"Pratylenchus crenatus Loof, 1960 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2787,12,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102789,UgentUGMD102789,Pratylenchus,"Pratylenchus zeae Graham, 1951","Graham, 1951",Animalia,"Pratylenchus zeae Graham, 1951 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2789,15,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102790,UgentUGMD102790,Pratylenchus,"Pratylenchus zeae Graham, 1951","Graham, 1951",Animalia,"Pratylenchus zeae Graham, 1951 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2790,9,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102791,UgentUGMD102791,Hemicricococophillus,,,,Hemicricococophillus,collection and data is currently is under review,unknown,,,,ZIRUG2791,10,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,
Ugent,UGMD,102792,UgentUGMD102792,Hemicriconemoides,,,,Hemicriconemoides mangiferne,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2792,7,,,Abdel-Akman farm U.A.R. ,United Arabic Republic,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102793,UgentUGMD102793,Boleodorus,"Boleodorus thylactus Thorne, 1941","Thorne, 1941",Animalia,"Boleodorus thylactus Thorne, 1941 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2793,13,,,United Arabic Republic,United Arabic Republic,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102795,UgentUGMD102795,Aphelenchoides,,,,Aphelenchoides yangambii,collection and data is currently is under review,1966,Chromadorea,Chromadoria,Rhabditida,ZIRUG2795,1,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102796,UgentUGMD102796,Aphelenchoides,,,,Aphelenchoides yangambii,collection and data is currently is under review,1966,Chromadorea,Chromadoria,Rhabditida,ZIRUG2796,1, Allotype  ,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102797,UgentUGMD102797,leeg preparaat,Nematoda,,Animalia,Nematoda (Animalia),collection and data is currently is under review,1966,Chromadorea,Chromadoria,Rhabditida,ZIRUG2797,,Holotype   ,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102798,UgentUGMD102798,Aphelenchoides,,,,Aphelenchoides yangambii,collection and data is currently is under review,1966,Chromadorea,Chromadoria,Rhabditida,ZIRUG2798,3,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102799,UgentUGMD102799,Aphelenchoides,,,,Aphelenchoides oteifae,collection and data is currently is under review,1966,Chromadorea,Chromadoria,Rhabditida,ZIRUG2799,2,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102800,UgentUGMD102800,Aphelenchoides,,,,Aphelenchoides oteifae,collection and data is currently is under review,1966,Chromadorea,Chromadoria,Rhabditida,ZIRUG2800,1,Holotype   ,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102801,UgentUGMD102801,Hemicriconemoides,"Hemicriconemoides varionodus Choi & Geraert, 1972","Choi & Geraert, 1972",Animalia,"Hemicriconemoides varionodus Choi & Geraert, 1972 (Animalia)",collection and data is currently is under review,1971,Chromadorea,Chromadoria,Rhabditida,ZIRUG2801,2,  Paratype ,,sang yu ,,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102802,UgentUGMD102802,preparaat ontbreekt,Nematoda,,Animalia,Nematoda (Animalia),collection and data is currently is under review,unknown,,,,ZIRUG2802,,,,,,only georeferenced to country level,,,,,missing,
Ugent,UGMD,102803,UgentUGMD102803,Hemicriconemoides,"Hemicriconemoides varionodus Choi & Geraert, 1972","Choi & Geraert, 1972",Animalia,"Hemicriconemoides varionodus Choi & Geraert, 1972 (Animalia)",collection and data is currently is under review,1971,Chromadorea,Chromadoria,Rhabditida,ZIRUG2803,4,  Paratype ,,sang yu ,,only georeferenced to country level,,,1971-04-19T23:00:00Z,,in collection,Nematoda
